birth_week,death_year,deaths_total,birth_year,group,cohort,study,age,rate,week_in_year
17-23 March 1948,1978,14,1948,1,0,NSHD,30,0.9130037824442415,4
24-30 March 1948,1978,7,1948,1,0,NSHD,30,0.45650189122212076,6
31-6 March/April 1948,1978,14,1948,1,0,NSHD,30,0.9130037824442415,9
3-9 February 1956,1978,9,1956,2,0,NCDS,22,0.5869310029998697,7
10-16 February 1956,1978,17,1956,2,0,NCDS,22,1.1086474501108647,1
17-23 February 1956,1978,8,1956,2,0,NCDS,22,0.5217164471109951,3
24-1 Feb/March 1956,1978,10,1956,2,0,NCDS,22,0.652145558888744,5
3-9 March 1956,1978,8,1956,2,0,NCDS,22,0.5217164471109951,8
10-16 March 1956,1978,9,1956,2,0,NCDS,22,0.5869310029998697,2
17-23 March 1956,1978,9,1956,2,0,NCDS,22,0.5869310029998697,4
24-30 March 1956,1978,5,1956,2,0,NCDS,22,0.326072779444372,6
31-6 March/April 1956,1978,10,1956,2,0,NCDS,22,0.652145558888744,9
3-9 February 1957,1978,15,1957,2,0,NCDS,21,0.978218338333116,7
10-16 February 1957,1978,13,1957,2,0,NCDS,21,0.8477892265553671,1
17-23 February 1957,1978,9,1957,2,0,NCDS,21,0.5869310029998697,3
24-2 Feb/March 1957,1978,11,1957,2,0,NCDS,21,0.7173601147776184,5
3-9 March 1957,1978,6,1957,2,0,NCDS,21,0.3912873353332464,8
10-16 March 1957,1978,14,1957,2,0,NCDS,21,0.9130037824442415,2
17-23 March 1957,1978,12,1957,2,0,NCDS,21,0.7825746706664928,4
24-30 March 1957,1978,9,1957,2,0,NCDS,21,0.5869310029998697,6
31-6 March/April 1957,1978,9,1957,2,0,NCDS,21,0.5869310029998697,9
3-9 February 1958,1978,9,1958,2,0,NCDS,20,0.5869310029998697,7
10-16 February 1958,1978,7,1958,2,0,NCDS,20,0.45650189122212076,1
17-23 February 1958,1978,18,1958,2,0,NCDS,20,1.1738620059997393,3
24-2 Feb/March 1958,1978,12,1958,2,0,NCDS,20,0.7825746706664928,5
3-9 March 1958,1978,8,1958,2,1,NCDS,20,0.5217164471109951,8
10-16 March 1958,1978,14,1958,2,0,NCDS,20,0.9130037824442415,2
17-23 March 1958,1978,11,1958,2,0,NCDS,20,0.7173601147776184,4
24-30 March 1958,1978,11,1958,2,0,NCDS,20,0.7173601147776184,6
31-6 March/April 1958,1978,16,1958,2,0,NCDS,20,1.0434328942219901,9
3-9 February 1959,1978,14,1959,2,0,NCDS,19,0.9130037824442415,7
10-16 February 1959,1978,10,1959,2,0,NCDS,19,0.652145558888744,1
17-23 February 1959,1978,9,1959,2,0,NCDS,19,0.5869310029998697,3
24-2 Feb/March 1959,1978,11,1959,2,0,NCDS,19,0.7173601147776184,5
3-9 March 1959,1978,12,1959,2,0,NCDS,19,0.7825746706664928,8
10-16 March 1959,1978,16,1959,2,0,NCDS,19,1.0434328942219901,2
17-23 March 1959,1978,17,1959,2,0,NCDS,19,1.1086474501108647,4
24-30 March 1959,1978,15,1959,2,0,NCDS,19,0.978218338333116,6
31-6 March/April 1959,1978,13,1959,2,0,NCDS,19,0.8477892265553671,9
3-9 February 1960,1978,9,1960,2,0,NCDS,18,0.5869310029998697,7
10-16 February 1960,1978,13,1960,2,0,NCDS,18,0.8477892265553671,1
17-23 February 1960,1978,13,1960,2,0,NCDS,18,0.8477892265553671,3
24-1 Feb/March 1960,1978,16,1960,2,0,NCDS,18,1.0434328942219901,5
3-9 March 1960,1978,12,1960,2,0,NCDS,18,0.7825746706664928,8
10-16 March 1960,1978,14,1960,2,0,NCDS,18,0.9130037824442415,2
17-23 March 1960,1978,15,1960,2,0,NCDS,18,0.978218338333116,4
24-30 March 1960,1978,13,1960,2,0,NCDS,18,0.8477892265553671,6
31-6 March/April 1960,1978,20,1960,2,0,NCDS,18,1.304291117777488,9
8-14 March 1968,1978,5,1968,3,0,BCS70,10,0.326072779444372,9
15-21 March 1968,1978,1,1968,3,0,BCS70,10,0.06521455588887438,2
22-28 March 1968,1978,6,1968,3,0,BCS70,10,0.3912873353332464,4
29-4 March/April 1968,1978,0,1968,3,0,BCS70,10,0.0,6
5-11 April 1968,1978,3,1968,3,0,BCS70,10,0.1956436676666232,8
12-18 April 1968,1978,4,1968,3,0,BCS70,10,0.26085822355549754,1
19-25 April 1968,1978,2,1968,3,0,BCS70,10,0.13042911177774877,3
26-2 April/May 1968,1978,6,1968,3,0,BCS70,10,0.3912873353332464,5
3-9 May 1968,1978,3,1968,3,0,BCS70,10,0.1956436676666232,7
8-14 March 1969,1978,3,1969,3,0,BCS70,9,0.1956436676666232,9
15-21 March 1969,1978,8,1969,3,0,BCS70,9,0.5217164471109951,2
22-28 March 1969,1978,7,1969,3,0,BCS70,9,0.45650189122212076,4
29-4 March/April 1969,1978,4,1969,3,0,BCS70,9,0.26085822355549754,6
5-11 April 1969,1978,4,1969,3,0,BCS70,9,0.26085822355549754,8
12-18 April 1969,1978,6,1969,3,0,BCS70,9,0.3912873353332464,1
19-25 April 1969,1978,5,1969,3,0,BCS70,9,0.326072779444372,3
26-2 April/May 1969,1978,5,1969,3,0,BCS70,9,0.326072779444372,5
3-9 May 1969,1978,2,1969,3,0,BCS70,9,0.13042911177774877,7
8-14 March 1970,1978,3,1970,3,0,BCS70,8,0.1956436676666232,9
15-21 March 1970,1978,5,1970,3,0,BCS70,8,0.326072779444372,2
22-28 March 1970,1978,2,1970,3,0,BCS70,8,0.13042911177774877,4
29-4 March/April 1970,1978,5,1970,3,0,BCS70,8,0.326072779444372,6
5-11 April 1970,1978,5,1970,3,1,BCS70,8,0.326072779444372,8
12-18 April 1970,1978,2,1970,3,0,BCS70,8,0.13042911177774877,1
19-25 April 1970,1978,2,1970,3,0,BCS70,8,0.13042911177774877,3
26-2 April/May 1970,1978,3,1970,3,0,BCS70,8,0.1956436676666232,5
3-9 May 1970,1978,4,1970,3,0,BCS70,8,0.26085822355549754,7
8-14 March 1971,1978,3,1971,3,0,BCS70,7,0.1956436676666232,9
15-21 March 1971,1978,7,1971,3,0,BCS70,7,0.45650189122212076,2
22-28 March 1971,1978,3,1971,3,0,BCS70,7,0.1956436676666232,4
29-4 March/April 1971,1978,4,1971,3,0,BCS70,7,0.26085822355549754,6
5-11 April 1971,1978,5,1971,3,0,BCS70,7,0.326072779444372,8
12-18 April 1971,1978,2,1971,3,0,BCS70,7,0.13042911177774877,1
19-25 April 1971,1978,6,1971,3,0,BCS70,7,0.3912873353332464,3
26-2 April/May 1971,1978,0,1971,3,0,BCS70,7,0.0,5
3-9 May 1971,1978,3,1971,3,0,BCS70,7,0.1956436676666232,7
8-14 March 1972,1978,5,1972,3,0,BCS70,6,0.326072779444372,9
15-21 March 1972,1978,3,1972,3,0,BCS70,6,0.1956436676666232,2
22-28 March 1972,1978,5,1972,3,0,BCS70,6,0.326072779444372,4
29-4 March/April 1972,1978,6,1972,3,0,BCS70,6,0.3912873353332464,6
5-11 April 1972,1978,3,1972,3,0,BCS70,6,0.1956436676666232,8
12-18 April 1972,1978,2,1972,3,0,BCS70,6,0.13042911177774877,1
19-25 April 1972,1978,2,1972,3,0,BCS70,6,0.13042911177774877,3
26-2 April/May 1972,1978,3,1972,3,0,BCS70,6,0.1956436676666232,5
3-9 May 1972,1978,2,1972,3,0,BCS70,6,0.13042911177774877,7
3-9 February 1944,1979,19,1944,1,0,NSHD,35,1.2390765618886135,7
10-16 February 1944,1979,12,1944,1,0,NSHD,35,0.7825746706664928,1
17-23 February 1944,1979,6,1944,1,0,NSHD,35,0.3912873353332464,3
24-1 Feb/March 1944,1979,16,1944,1,0,NSHD,35,1.0434328942219901,5
3-9 March 1944,1979,10,1944,1,0,NSHD,35,0.652145558888744,8
10-16 March 1944,1979,13,1944,1,0,NSHD,35,0.8477892265553671,2
17-23 March 1944,1979,15,1944,1,0,NSHD,35,0.978218338333116,4
24-30 March 1944,1979,9,1944,1,0,NSHD,35,0.5869310029998697,6
31-6 March/April 1944,1979,17,1944,1,0,NSHD,35,1.1086474501108647,9
3-9 February 1945,1979,15,1945,1,0,NSHD,34,0.978218338333116,7
10-16 February 1945,1979,10,1945,1,0,NSHD,34,0.652145558888744,1
17-23 February 1945,1979,15,1945,1,0,NSHD,34,0.978218338333116,3
24-2 Feb/March 1945,1979,14,1945,1,0,NSHD,34,0.9130037824442415,5
3-9 March 1945,1979,16,1945,1,0,NSHD,34,1.0434328942219901,8
10-16 March 1945,1979,14,1945,1,0,NSHD,34,0.9130037824442415,2
17-23 March 1945,1979,16,1945,1,0,NSHD,34,1.0434328942219901,4
24-30 March 1945,1979,10,1945,1,0,NSHD,34,0.652145558888744,6
31-6 March/April 1945,1979,9,1945,1,0,NSHD,34,0.5869310029998697,9
3-9 February 1946,1979,13,1946,1,0,NSHD,33,0.8477892265553671,7
10-16 February 1946,1979,13,1946,1,0,NSHD,33,0.8477892265553671,1
17-23 February 1946,1979,14,1946,1,0,NSHD,33,0.9130037824442415,3
24-2 Feb/March 1946,1979,15,1946,1,0,NSHD,33,0.978218338333116,5
3-9 March 1946,1979,9,1946,1,1,NSHD,33,0.5869310029998697,8
10-16 March 1946,1979,14,1946,1,0,NSHD,33,0.9130037824442415,2
17-23 March 1946,1979,11,1946,1,0,NSHD,33,0.7173601147776184,4
24-30 March 1946,1979,14,1946,1,0,NSHD,33,0.9130037824442415,6
31-6 March/April 1946,1979,10,1946,1,0,NSHD,33,0.652145558888744,9
3-9 February 1947,1979,8,1947,1,0,NSHD,32,0.5217164471109951,7
10-16 February 1947,1979,22,1947,1,0,NSHD,32,1.4347202295552368,1
17-23 February 1947,1979,9,1947,1,0,NSHD,32,0.5869310029998697,3
24-2 Feb/March 1947,1979,11,1947,1,0,NSHD,32,0.7173601147776184,5
3-9 March 1947,1979,9,1947,1,0,NSHD,32,0.5869310029998697,8
10-16 March 1947,1979,14,1947,1,0,NSHD,32,0.9130037824442415,2
17-23 March 1947,1979,7,1947,1,0,NSHD,32,0.45650189122212076,4
24-30 March 1947,1979,12,1947,1,0,NSHD,32,0.7825746706664928,6
31-6 March/April 1947,1979,8,1947,1,0,NSHD,32,0.5217164471109951,9
3-9 February 1948,1979,4,1948,1,0,NSHD,31,0.26085822355549754,7
10-16 February 1948,1979,7,1948,1,0,NSHD,31,0.45650189122212076,1
17-23 February 1948,1979,10,1948,1,0,NSHD,31,0.652145558888744,3
24-1 Feb/March 1948,1979,9,1948,1,0,NSHD,31,0.5869310029998697,5
3-9 March 1948,1979,12,1948,1,0,NSHD,31,0.7825746706664928,8
10-16 March 1948,1979,5,1948,1,0,NSHD,31,0.326072779444372,2
17-23 March 1948,1979,14,1948,1,0,NSHD,31,0.9130037824442415,4
24-30 March 1948,1979,10,1948,1,0,NSHD,31,0.652145558888744,6
31-6 March/April 1948,1979,12,1948,1,0,NSHD,31,0.7825746706664928,9
3-9 February 1956,1979,10,1956,2,0,NCDS,23,0.652145558888744,7
10-16 February 1956,1979,10,1956,2,0,NCDS,23,0.652145558888744,1
17-23 February 1956,1979,6,1956,2,0,NCDS,23,0.3912873353332464,3
24-1 Feb/March 1956,1979,15,1956,2,0,NCDS,23,0.978218338333116,5
3-9 March 1956,1979,16,1956,2,0,NCDS,23,1.0434328942219901,8
10-16 March 1956,1979,7,1956,2,0,NCDS,23,0.45650189122212076,2
17-23 March 1956,1979,10,1956,2,0,NCDS,23,0.652145558888744,4
24-30 March 1956,1979,9,1956,2,0,NCDS,23,0.5869310029998697,6
31-6 March/April 1956,1979,9,1956,2,0,NCDS,23,0.5869310029998697,9
3-9 February 1957,1979,9,1957,2,0,NCDS,22,0.5869310029998697,7
10-16 February 1957,1979,6,1957,2,0,NCDS,22,0.3912873353332464,1
17-23 February 1957,1979,9,1957,2,0,NCDS,22,0.5869310029998697,3
24-2 Feb/March 1957,1979,10,1957,2,0,NCDS,22,0.652145558888744,5
3-9 March 1957,1979,13,1957,2,0,NCDS,22,0.8477892265553671,8
10-16 March 1957,1979,10,1957,2,0,NCDS,22,0.652145558888744,2
17-23 March 1957,1979,13,1957,2,0,NCDS,22,0.8477892265553671,4
24-30 March 1957,1979,9,1957,2,0,NCDS,22,0.5869310029998697,6
31-6 March/April 1957,1979,8,1957,2,0,NCDS,22,0.5217164471109951,9
3-9 February 1958,1979,18,1958,2,0,NCDS,21,1.1738620059997393,7
10-16 February 1958,1979,12,1958,2,0,NCDS,21,0.7825746706664928,1
17-23 February 1958,1979,7,1958,2,0,NCDS,21,0.45650189122212076,3
24-2 Feb/March 1958,1979,10,1958,2,0,NCDS,21,0.652145558888744,5
3-9 March 1958,1979,10,1958,2,1,NCDS,21,0.652145558888744,8
10-16 March 1958,1979,12,1958,2,0,NCDS,21,0.7825746706664928,2
17-23 March 1958,1979,19,1958,2,0,NCDS,21,1.2390765618886135,4
24-30 March 1958,1979,10,1958,2,0,NCDS,21,0.652145558888744,6
31-6 March/April 1958,1979,12,1958,2,0,NCDS,21,0.7825746706664928,9
3-9 February 1959,1979,12,1959,2,0,NCDS,20,0.7825746706664928,7
10-16 February 1959,1979,17,1959,2,0,NCDS,20,1.1086474501108647,1
17-23 February 1959,1979,5,1959,2,0,NCDS,20,0.326072779444372,3
24-2 Feb/March 1959,1979,6,1959,2,0,NCDS,20,0.3912873353332464,5
3-9 March 1959,1979,8,1959,2,0,NCDS,20,0.5217164471109951,8
10-16 March 1959,1979,12,1959,2,0,NCDS,20,0.7825746706664928,2
17-23 March 1959,1979,5,1959,2,0,NCDS,20,0.326072779444372,4
24-30 March 1959,1979,10,1959,2,0,NCDS,20,0.652145558888744,6
31-6 March/April 1959,1979,18,1959,2,0,NCDS,20,1.1738620059997393,9
3-9 February 1960,1979,10,1960,2,0,NCDS,19,0.652145558888744,7
10-16 February 1960,1979,17,1960,2,0,NCDS,19,1.1086474501108647,1
17-23 February 1960,1979,9,1960,2,0,NCDS,19,0.5869310029998697,3
24-1 Feb/March 1960,1979,9,1960,2,0,NCDS,19,0.5869310029998697,5
3-9 March 1960,1979,15,1960,2,0,NCDS,19,0.978218338333116,8
10-16 March 1960,1979,17,1960,2,0,NCDS,19,1.1086474501108647,2
17-23 March 1960,1979,11,1960,2,0,NCDS,19,0.7173601147776184,4
24-30 March 1960,1979,11,1960,2,0,NCDS,19,0.7173601147776184,6
31-6 March/April 1960,1979,7,1960,2,0,NCDS,19,0.45650189122212076,9
8-14 March 1968,1979,7,1968,3,0,BCS70,11,0.45650189122212076,9
15-21 March 1968,1979,4,1968,3,0,BCS70,11,0.26085822355549754,2
22-28 March 1968,1979,2,1968,3,0,BCS70,11,0.13042911177774877,4
29-4 March/April 1968,1979,6,1968,3,0,BCS70,11,0.3912873353332464,6
5-11 April 1968,1979,0,1968,3,0,BCS70,11,0.0,8
12-18 April 1968,1979,2,1968,3,0,BCS70,11,0.13042911177774877,1
19-25 April 1968,1979,0,1968,3,0,BCS70,11,0.0,3
26-2 April/May 1968,1979,0,1968,3,0,BCS70,11,0.0,5
3-9 May 1968,1979,4,1968,3,0,BCS70,11,0.26085822355549754,7
8-14 March 1969,1979,5,1969,3,0,BCS70,10,0.326072779444372,9
15-21 March 1969,1979,1,1969,3,0,BCS70,10,0.06521455588887438,2
22-28 March 1969,1979,3,1969,3,0,BCS70,10,0.1956436676666232,4
29-4 March/April 1969,1979,6,1969,3,0,BCS70,10,0.3912873353332464,6
5-11 April 1969,1979,1,1969,3,0,BCS70,10,0.06521455588887438,8
12-18 April 1969,1979,4,1969,3,0,BCS70,10,0.26085822355549754,1
19-25 April 1969,1979,2,1969,3,0,BCS70,10,0.13042911177774877,3
26-2 April/May 1969,1979,5,1969,3,0,BCS70,10,0.326072779444372,5
3-9 May 1969,1979,2,1969,3,0,BCS70,10,0.13042911177774877,7
8-14 March 1970,1979,6,1970,3,0,BCS70,9,0.3912873353332464,9
15-21 March 1970,1979,4,1970,3,0,BCS70,9,0.26085822355549754,2
22-28 March 1970,1979,1,1970,3,0,BCS70,9,0.06521455588887438,4
29-4 March/April 1970,1979,4,1970,3,0,BCS70,9,0.26085822355549754,6
5-11 April 1970,1979,3,1970,3,1,BCS70,9,0.1956436676666232,8
12-18 April 1970,1979,4,1970,3,0,BCS70,9,0.26085822355549754,1
19-25 April 1970,1979,3,1970,3,0,BCS70,9,0.1956436676666232,3
26-2 April/May 1970,1979,4,1970,3,0,BCS70,9,0.26085822355549754,5
3-9 May 1970,1979,1,1970,3,0,BCS70,9,0.06521455588887438,7
8-14 March 1971,1979,4,1971,3,0,BCS70,8,0.26085822355549754,9
15-21 March 1971,1979,7,1971,3,0,BCS70,8,0.45650189122212076,2
22-28 March 1971,1979,3,1971,3,0,BCS70,8,0.1956436676666232,4
29-4 March/April 1971,1979,1,1971,3,0,BCS70,8,0.06521455588887438,6
5-11 April 1971,1979,7,1971,3,0,BCS70,8,0.45650189122212076,8
12-18 April 1971,1979,6,1971,3,0,BCS70,8,0.3912873353332464,1
19-25 April 1971,1979,2,1971,3,0,BCS70,8,0.13042911177774877,3
26-2 April/May 1971,1979,3,1971,3,0,BCS70,8,0.1956436676666232,5
3-9 May 1971,1979,4,1971,3,0,BCS70,8,0.26085822355549754,7
8-14 March 1972,1979,5,1972,3,0,BCS70,7,0.326072779444372,9
15-21 March 1972,1979,4,1972,3,0,BCS70,7,0.26085822355549754,2
22-28 March 1972,1979,6,1972,3,0,BCS70,7,0.3912873353332464,4
29-4 March/April 1972,1979,1,1972,3,0,BCS70,7,0.06521455588887438,6
5-11 April 1972,1979,6,1972,3,0,BCS70,7,0.3912873353332464,8
12-18 April 1972,1979,5,1972,3,0,BCS70,7,0.326072779444372,1
19-25 April 1972,1979,5,1972,3,0,BCS70,7,0.326072779444372,3
26-2 April/May 1972,1979,3,1972,3,0,BCS70,7,0.1956436676666232,5
3-9 May 1972,1979,3,1972,3,0,BCS70,7,0.1956436676666232,7
3-9 February 1944,1980,9,1944,1,0,NSHD,36,0.5869310029998697,7
10-16 February 1944,1980,26,1944,1,0,NSHD,36,1.6955784531107343,1
17-23 February 1944,1980,11,1944,1,0,NSHD,36,0.7173601147776184,3
24-1 Feb/March 1944,1980,18,1944,1,0,NSHD,36,1.1738620059997393,5
3-9 March 1944,1980,14,1944,1,0,NSHD,36,0.9130037824442415,8
10-16 March 1944,1980,15,1944,1,0,NSHD,36,0.978218338333116,2
17-23 March 1944,1980,16,1944,1,0,NSHD,36,1.0434328942219901,4
24-30 March 1944,1980,18,1944,1,0,NSHD,36,1.1738620059997393,6
31-6 March/April 1944,1980,17,1944,1,0,NSHD,36,1.1086474501108647,9
3-9 February 1945,1980,6,1945,1,0,NSHD,35,0.3912873353332464,7
10-16 February 1945,1980,20,1945,1,0,NSHD,35,1.304291117777488,1
17-23 February 1945,1980,17,1945,1,0,NSHD,35,1.1086474501108647,3
24-2 Feb/March 1945,1980,7,1945,1,0,NSHD,35,0.45650189122212076,5
3-9 March 1945,1980,12,1945,1,0,NSHD,35,0.7825746706664928,8
10-16 March 1945,1980,17,1945,1,0,NSHD,35,1.1086474501108647,2
17-23 March 1945,1980,7,1945,1,0,NSHD,35,0.45650189122212076,4
24-30 March 1945,1980,11,1945,1,0,NSHD,35,0.7173601147776184,6
31-6 March/April 1945,1980,11,1945,1,0,NSHD,35,0.7173601147776184,9
3-9 February 1946,1980,14,1946,1,0,NSHD,34,0.9130037824442415,7
10-16 February 1946,1980,7,1946,1,0,NSHD,34,0.45650189122212076,1
17-23 February 1946,1980,7,1946,1,0,NSHD,34,0.45650189122212076,3
24-2 Feb/March 1946,1980,17,1946,1,0,NSHD,34,1.1086474501108647,5
3-9 March 1946,1980,15,1946,1,1,NSHD,34,0.978218338333116,8
10-16 March 1946,1980,13,1946,1,0,NSHD,34,0.8477892265553671,2
17-23 March 1946,1980,16,1946,1,0,NSHD,34,1.0434328942219901,4
24-30 March 1946,1980,12,1946,1,0,NSHD,34,0.7825746706664928,6
31-6 March/April 1946,1980,13,1946,1,0,NSHD,34,0.8477892265553671,9
3-9 February 1947,1980,9,1947,1,0,NSHD,33,0.5869310029998697,7
10-16 February 1947,1980,14,1947,1,0,NSHD,33,0.9130037824442415,1
17-23 February 1947,1980,14,1947,1,0,NSHD,33,0.9130037824442415,3
24-2 Feb/March 1947,1980,15,1947,1,0,NSHD,33,0.978218338333116,5
3-9 March 1947,1980,17,1947,1,0,NSHD,33,1.1086474501108647,8
10-16 March 1947,1980,12,1947,1,0,NSHD,33,0.7825746706664928,2
17-23 March 1947,1980,13,1947,1,0,NSHD,33,0.8477892265553671,4
24-30 March 1947,1980,14,1947,1,0,NSHD,33,0.9130037824442415,6
31-6 March/April 1947,1980,12,1947,1,0,NSHD,33,0.7825746706664928,9
3-9 February 1948,1980,9,1948,1,0,NSHD,32,0.5869310029998697,7
10-16 February 1948,1980,5,1948,1,0,NSHD,32,0.326072779444372,1
17-23 February 1948,1980,12,1948,1,0,NSHD,32,0.7825746706664928,3
24-1 Feb/March 1948,1980,20,1948,1,0,NSHD,32,1.304291117777488,5
3-9 March 1948,1980,9,1948,1,0,NSHD,32,0.5869310029998697,8
10-16 March 1948,1980,11,1948,1,0,NSHD,32,0.7173601147776184,2
17-23 March 1948,1980,15,1948,1,0,NSHD,32,0.978218338333116,4
24-30 March 1948,1980,8,1948,1,0,NSHD,32,0.5217164471109951,6
31-6 March/April 1948,1980,12,1948,1,0,NSHD,32,0.7825746706664928,9
3-9 February 1956,1980,9,1956,2,0,NCDS,24,0.5869310029998697,7
10-16 February 1956,1980,10,1956,2,0,NCDS,24,0.652145558888744,1
17-23 February 1956,1980,8,1956,2,0,NCDS,24,0.5217164471109951,3
24-1 Feb/March 1956,1980,9,1956,2,0,NCDS,24,0.5869310029998697,5
3-9 March 1956,1980,9,1956,2,0,NCDS,24,0.5869310029998697,8
10-16 March 1956,1980,8,1956,2,0,NCDS,24,0.5217164471109951,2
17-23 March 1956,1980,11,1956,2,0,NCDS,24,0.7173601147776184,4
24-30 March 1956,1980,7,1956,2,0,NCDS,24,0.45650189122212076,6
31-6 March/April 1956,1980,11,1956,2,0,NCDS,24,0.7173601147776184,9
3-9 February 1957,1980,5,1957,2,0,NCDS,23,0.326072779444372,7
10-16 February 1957,1980,10,1957,2,0,NCDS,23,0.652145558888744,1
17-23 February 1957,1980,9,1957,2,0,NCDS,23,0.5869310029998697,3
24-2 Feb/March 1957,1980,16,1957,2,0,NCDS,23,1.0434328942219901,5
3-9 March 1957,1980,10,1957,2,0,NCDS,23,0.652145558888744,8
10-16 March 1957,1980,10,1957,2,0,NCDS,23,0.652145558888744,2
17-23 March 1957,1980,4,1957,2,0,NCDS,23,0.26085822355549754,4
24-30 March 1957,1980,7,1957,2,0,NCDS,23,0.45650189122212076,6
31-6 March/April 1957,1980,7,1957,2,0,NCDS,23,0.45650189122212076,9
3-9 February 1958,1980,9,1958,2,0,NCDS,22,0.5869310029998697,7
10-16 February 1958,1980,13,1958,2,0,NCDS,22,0.8477892265553671,1
17-23 February 1958,1980,4,1958,2,0,NCDS,22,0.26085822355549754,3
24-2 Feb/March 1958,1980,9,1958,2,0,NCDS,22,0.5869310029998697,5
3-9 March 1958,1980,12,1958,2,1,NCDS,22,0.7825746706664928,8
10-16 March 1958,1980,7,1958,2,0,NCDS,22,0.45650189122212076,2
17-23 March 1958,1980,10,1958,2,0,NCDS,22,0.652145558888744,4
24-30 March 1958,1980,11,1958,2,0,NCDS,22,0.7173601147776184,6
31-6 March/April 1958,1980,11,1958,2,0,NCDS,22,0.7173601147776184,9
3-9 February 1959,1980,8,1959,2,0,NCDS,21,0.5217164471109951,7
10-16 February 1959,1980,8,1959,2,0,NCDS,21,0.5217164471109951,1
17-23 February 1959,1980,14,1959,2,0,NCDS,21,0.9130037824442415,3
24-2 Feb/March 1959,1980,10,1959,2,0,NCDS,21,0.652145558888744,5
3-9 March 1959,1980,6,1959,2,0,NCDS,21,0.3912873353332464,8
10-16 March 1959,1980,8,1959,2,0,NCDS,21,0.5217164471109951,2
17-23 March 1959,1980,16,1959,2,0,NCDS,21,1.0434328942219901,4
24-30 March 1959,1980,10,1959,2,0,NCDS,21,0.652145558888744,6
31-6 March/April 1959,1980,16,1959,2,0,NCDS,21,1.0434328942219901,9
3-9 February 1960,1980,8,1960,2,0,NCDS,20,0.5217164471109951,7
10-16 February 1960,1980,7,1960,2,0,NCDS,20,0.45650189122212076,1
17-23 February 1960,1980,6,1960,2,0,NCDS,20,0.3912873353332464,3
24-1 Feb/March 1960,1980,11,1960,2,0,NCDS,20,0.7173601147776184,5
3-9 March 1960,1980,5,1960,2,0,NCDS,20,0.326072779444372,8
10-16 March 1960,1980,16,1960,2,0,NCDS,20,1.0434328942219901,2
17-23 March 1960,1980,11,1960,2,0,NCDS,20,0.7173601147776184,4
24-30 March 1960,1980,7,1960,2,0,NCDS,20,0.45650189122212076,6
31-6 March/April 1960,1980,16,1960,2,0,NCDS,20,1.0434328942219901,9
8-14 March 1968,1980,3,1968,3,0,BCS70,12,0.1956436676666232,9
15-21 March 1968,1980,1,1968,3,0,BCS70,12,0.06521455588887438,2
22-28 March 1968,1980,1,1968,3,0,BCS70,12,0.06521455588887438,4
29-4 March/April 1968,1980,3,1968,3,0,BCS70,12,0.1956436676666232,6
5-11 April 1968,1980,1,1968,3,0,BCS70,12,0.06521455588887438,8
12-18 April 1968,1980,4,1968,3,0,BCS70,12,0.26085822355549754,1
19-25 April 1968,1980,5,1968,3,0,BCS70,12,0.326072779444372,3
26-2 April/May 1968,1980,6,1968,3,0,BCS70,12,0.3912873353332464,5
3-9 May 1968,1980,0,1968,3,0,BCS70,12,0.0,7
8-14 March 1969,1980,4,1969,3,0,BCS70,11,0.26085822355549754,9
15-21 March 1969,1980,6,1969,3,0,BCS70,11,0.3912873353332464,2
22-28 March 1969,1980,7,1969,3,0,BCS70,11,0.45650189122212076,4
29-4 March/April 1969,1980,3,1969,3,0,BCS70,11,0.1956436676666232,6
5-11 April 1969,1980,1,1969,3,0,BCS70,11,0.06521455588887438,8
12-18 April 1969,1980,5,1969,3,0,BCS70,11,0.326072779444372,1
19-25 April 1969,1980,4,1969,3,0,BCS70,11,0.26085822355549754,3
26-2 April/May 1969,1980,3,1969,3,0,BCS70,11,0.1956436676666232,5
3-9 May 1969,1980,3,1969,3,0,BCS70,11,0.1956436676666232,7
8-14 March 1970,1980,4,1970,3,0,BCS70,10,0.26085822355549754,9
15-21 March 1970,1980,1,1970,3,0,BCS70,10,0.06521455588887438,2
22-28 March 1970,1980,3,1970,3,0,BCS70,10,0.1956436676666232,4
29-4 March/April 1970,1980,1,1970,3,0,BCS70,10,0.06521455588887438,6
5-11 April 1970,1980,1,1970,3,1,BCS70,10,0.06521455588887438,8
12-18 April 1970,1980,3,1970,3,0,BCS70,10,0.1956436676666232,1
19-25 April 1970,1980,5,1970,3,0,BCS70,10,0.326072779444372,3
26-2 April/May 1970,1980,3,1970,3,0,BCS70,10,0.1956436676666232,5
3-9 May 1970,1980,6,1970,3,0,BCS70,10,0.3912873353332464,7
8-14 March 1971,1980,2,1971,3,0,BCS70,9,0.13042911177774877,9
15-21 March 1971,1980,6,1971,3,0,BCS70,9,0.3912873353332464,2
22-28 March 1971,1980,2,1971,3,0,BCS70,9,0.13042911177774877,4
29-4 March/April 1971,1980,1,1971,3,0,BCS70,9,0.06521455588887438,6
5-11 April 1971,1980,0,1971,3,0,BCS70,9,0.0,8
12-18 April 1971,1980,4,1971,3,0,BCS70,9,0.26085822355549754,1
19-25 April 1971,1980,5,1971,3,0,BCS70,9,0.326072779444372,3
26-2 April/May 1971,1980,8,1971,3,0,BCS70,9,0.5217164471109951,5
3-9 May 1971,1980,6,1971,3,0,BCS70,9,0.3912873353332464,7
8-14 March 1972,1980,3,1972,3,0,BCS70,8,0.1956436676666232,9
